class,major_group
dog,animals
chirping_birds,natural_sound_plus_water
vacuum_cleaner,interior_domestic
thunderstorm,natural_sound_plus_water
door_wood_knock,interior_domestic
can_opening,interior_domestic
crow,animals
clapping,human_non_speech
fireworks,exterior_urban
chainsaw,exterior_urban
airplane,exterior_urban
mouse_click,interior_domestic
pouring_water,natural_sound_plus_water
train,exterior_urban
sheep,animals
water_drops,natural_sound_plus_water
church_bells,exterior_urban
clock_alarm,interior_domestic
keyboard_typing,interior_domestic
wind,natural_sound_plus_water
footsteps,human_non_speech
frog,animals
cow,animals
brushing_teeth,human_non_speech
car_horn,exterior_urban
crackling_fire,natural_sound_plus_water
helicopter,exterior_urban
drinking_sipping,human_non_speech
rain,natural_sound_plus_water
insects,animals
laughing,human_non_speech
hen,animals
engine,exterior_urban
breathing,human_non_speech
crying_baby,human_non_speech
hand_saw,exterior_urban
coughing,human_non_speech
glass_breaking,interior_domestic
snoring,human_non_speech
toilet_flush,natural_sound_plus_water
pig,animals
washing_machine,interior_domestic
clock_tick,interior_domestic
sneezing,human_non_speech
rooster,animals
sea_waves,natural_sound_plus_water
siren,exterior_urban
cat,animals
door_wood_creaks,interior_domestic
crickets,natural_sound_plus_water
